Nama Produk,Harga,Lokasi,Link
Tank Pad / Tank Grip set Type-3 W175 - TYPE 3,Rp720.000,-,https://www.tokopedia.com/arcspeedshop/tank-pad-tank-grip-set-type-3-w175-type-1-d8ce3?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Cover Chain Case 2C0-15418-00 Suku Cadang Asli Yamaha Original Import,Rp423.000,-,https://www.tokopedia.com/webike-indonesia/cover-chain-case-2c0-15418-00-suku-cadang-asli-yamaha-original-import?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Tutup Gir Depan CB150R Old Original Honda,Rp100.000,-,https://www.tokopedia.com/lestarimotor2/tutup-gir-depan-cb150r-old-original-honda?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Sliding Shave Vario 125 Original Honda,Rp175.000,-,https://www.tokopedia.com/lestarimotor2/sliding-shave-vario-125-original-honda?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Stiker Bodi Lis Body Striping Revo Fit 2011 Hitam Biru,Rp40.000,-,https://www.tokopedia.com/lestarimotor2/stiker-bodi-lis-body-striping-revo-fit-2011-hitam-biru?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
COVER INNER DEK KUNCI VARIO 125 LED 2018 2021 ASLI ORIGINAL AHM 81141-K60-B60ZA,Rp199.999,-,https://www.tokopedia.com/lestarimotor2/cover-inner-dek-kunci-vario-125-led-2018-2021-asli-original-ahm-81141-k60-b60za-1731572887174284679?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Tube Air Cleaner Drain Spacy110 17261-KVY-900 HONDA Thailand,Rp52.000,-,https://www.tokopedia.com/webike-indonesia/tube-air-cleaner-drain-spacy110-17261-kvy-900-honda-thailand-1731891834050873261?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Stiker Body Depan Kanan Honda Vario 125 eSP K60R 86641K2VN00ZB,Rp14.000,-,https://www.tokopedia.com/hondacengkareng/stiker-body-depan-kanan-honda-vario-125-esp-k60r-86641k2vn00zb?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
￼New AEROX Connected 2021-2024 Muffler Knalpot Body Protector Pelindung BOSW,Rp69.000,-,https://www.tokopedia.com/bosw-622/new-aerox-connected-2021-2024-muffler-knalpot-body-protector-pelindung-bosw-1730306814881597096?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Selang Bensin Honda PCX 150 K97 & PCX Hybrid 17570K97T01,Rp357.900,-,https://www.tokopedia.com/hondacengkareng/selang-bensin-honda-pcx-150-k97-pcx-hybrid-17570k97t01-1729579201960511703?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Sticker Body Stripe R Middle Cowl B Type 1 New CBR 150R K45N 86643K45N,Rp38.600,-,https://www.tokopedia.com/hondacengkareng/sticker-body-stripe-r-middle-cowl-b-type-1-new-cbr-150r-k45n-86643k45n?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Baut Flange 6X28 Honda Mega Pro Advance 90117KW1900,Rp30.600,-,https://www.tokopedia.com/hondacengkareng/baut-flange-6x28-honda-mega-pro-advance-90117kw1900?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Sticker Body (Stripe C R Middle Cowl 1) - CBR 150R K45G K45N,Rp61.000,-,https://www.tokopedia.com/hondacengkareng/sticker-body-stripe-c-r-middle-cowl-1-cbr-150r-k45g-k45n?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
COVER TUTUP PELINDUNG KENALPOT VEGA-ZR / CRYPTON ORIGINAL YAMAHA 5D9-E4718-00,Rp138.500,-,https://www.tokopedia.com/yamahalancarlanggeng/cover-tutup-pelindung-kenalpot-vega-zr-crypton-original-yamaha-5d9-e4718-00?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Stripe A R Body Cover Type 3 Blue - Genio 86831K0JN10ZD,Rp82.700,-,https://www.tokopedia.com/hondacengkareng/stripe-a-r-body-cover-type-3-blue-genio-86831k0jn10zd?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Valve Ex Honda Vario 160 K2S 14721K40F00,Rp97.100,-,https://www.tokopedia.com/hondacengkareng/valve-ex-honda-vario-160-k2s-14721k40f00-1729673717730871511?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
LAMPU SEN JUPITER MX OLD DEPAN KANAN ORIGINAL YAMAHA 1S7-H3320-00,Rp131.300,-,https://www.tokopedia.com/yamahalancarlanggeng/lampu-sen-jupiter-mx-old-depan-kanan-original-yamaha-1s7-h3320-00-1730910380963497347?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Cover body Samping Kiri Putih Honda CRF150L K84 83660K84600ZA,Rp131.800,-,https://www.tokopedia.com/hondacengkareng/cover-body-samping-kiri-putih-honda-crf150l-k84-83660k84600za-1729652195099314391?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Mark Honda 85MM Type 1 Honda Genio 86102K0JN30ZB,Rp19.800,-,https://www.tokopedia.com/hondacengkareng/mark-honda-85mm-type-1-honda-genio-86102k0jn30zb-1729655692731123927?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Cover Speedometer Rear Putih Honda Genio 53206K0JN00VWH,Rp152.000,-,https://www.tokopedia.com/hondacengkareng/cover-speedometer-rear-putih-honda-genio-53206k0jn00vwh-1729582977243711703?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Screen Protector Scoopy K2FP MCSMPK2FP00,Rp118.000,-,https://www.tokopedia.com/hondacengkareng/screen-protector-scoopy-k2fp-mcsmpk2fp00-1734001032974140631?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Sensor Assy Speedometer Honda Mega Pro New 4480AKYE900,Rp444.600,-,https://www.tokopedia.com/hondacengkareng/sensor-assy-speedometer-honda-mega-pro-new-4480akye900-1729674464106940631?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Spakbor Kolong Chain Cover GROM MSX125 40510-K26-900 HONDA Thailand,Rp384.000,-,https://www.tokopedia.com/webike-indonesia/spakbor-kolong-chain-cover-grom-msx125-40510-k26-900-honda-thailand-1732486350911670189?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Cover Handle Top Kanan Hitam Honda Vario 160 K2S 53208K2SN10ZJ,Rp163.600,-,https://www.tokopedia.com/hondacengkareng/cover-handle-top-kanan-hitam-honda-vario-160-k2s-53208k2sn10zj-1729582837249706199?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Cover Front Center Merah Doff Honda PCX 160 K1Z 64503K1ZJ10ZP,Rp334.100,-,https://www.tokopedia.com/hondacengkareng/cover-front-center-merah-doff-honda-pcx-160-k1z-64503k1zj10zp-1729582837249575127?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Cover Handle Atas Kiri Merah Doff Honda Vario 160 K2S 53209K2SN00ZE,Rp156.400,-,https://www.tokopedia.com/hondacengkareng/cover-handle-atas-kiri-merah-doff-honda-vario-160-k2s-53209k2sn00ze-1729582836614727895?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Cowl Tengah Bawah Kanan Hijau Honda CB150X 64321K3BN00MSG,Rp741.600,-,https://www.tokopedia.com/hondacengkareng/cowl-tengah-bawah-kanan-hijau-honda-cb150x-64321k3bn00msg-1729582983228131543?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
NAP GEAR NAPGIR SATRIA FU INJEKSI FI 12K00 DRUM REAR SPROCKET FU FI ASLI,Rp65.899,-,https://www.tokopedia.com/lestarimotor2/nap-gear-napgir-satria-fu-injeksi-fi-12k00-drum-rear-sprocket-fu-fi-asli-1731484712888010119?extParam=ivf%3Dtrue%26search_id%3D202606251833310584CE565C824B11EQM3
"DYNAVOLT Aki Motor Vespa Piaggio LX 150, Primavera 150, Sprint 150, GTS 150, dll | Nano-Gel MG7L-BS-C | 7 AH 200 CCA",Rp375.300,-,https://www.tokopedia.com/dynavolt/dynavolt-aki-motor-vespa-piaggio-lx-150-primavera-150-sprint-150-dll-nano-gel-mg7l-bs-c-7-ah-200-cca-1731387372496586294?extParam=ivf%3Dtrue%26search_id%3D202606251833310584CE565C824B11EQM3
Hayaidesu Garnish Knalpot ADV 150 - Garnish Aksesoris Full CNC Anodize,Rp128.700,-,https://www.tokopedia.com/hayaidesuid/hayaidesu-garnish-knalpot-adv-150-garnish-aksesoris-full-cnc-anodize-1732992946733745394?extParam=ivf%3Dtrue%26search_id%3D202606251833310584CE565C824B11EQM3
Cover Kiri Depan Putih Doff Honda Stylo 160 64601K3VN00ZE,Rp647.700,-,https://www.tokopedia.com/hondacengkareng/cover-kiri-depan-putih-doff-honda-stylo-160-64601k3vn00ze-1729746226127865047?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Stripe B L Body Cover Type 1 Red - Genio 86834K0JN10ZF,Rp31.400,-,https://www.tokopedia.com/hondacengkareng/stripe-b-l-body-cover-type-1-red-genio-86834k0jn10zf?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Cover Bawah Speedometer Hitam Doff Honda Scoopy K2F 53206K2FN00ZK,Rp113.000,-,https://www.tokopedia.com/hondacengkareng/cover-bawah-speedometer-hitam-doff-honda-scoopy-k2f-53206k2fn00zk-1729589372381923543?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
"GRAPHIC 7 & 8, STICKER MOLE KANAN KIRI ALL NEW AEROX 155 CONNECTED MAT",Rp58.905,-,https://www.tokopedia.com/yamaha-bintang-rejeki-motor/graphic-7-8-sticker-mole-kanan-kiri-all-new-aerox-155-connected-mat?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
"FAIRING, STICKER SAYAP (SET) R25 BIRU 2018 1WD-F8393-E0 & 1WD-F8394-E0",Rp188.265,-,https://www.tokopedia.com/yamaha-bintang-rejeki-motor/fairing-sticker-sayap-set-r25-biru-2018-1wd-f8393-e0-1wd-f8394-e0?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
"GRAPHIC, FUEL TANK 1 & 2 MAT SILVER 1 YAMAHA MT-25",Rp56.595,-,https://www.tokopedia.com/yamaha-bintang-rejeki-motor/graphic-fuel-tank-1-2-mat-silver-1-yamaha-mt-25?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
REAR CARRIER YAMAHA GRAND FILANO BJK-RACKR-M1-BL,Rp746.130,-,https://www.tokopedia.com/yamaha-bintang-rejeki-motor/rear-carrier-yamaha-grand-filano-bjk-rackr-m1-bl?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
High Screen For Yamaha Xmax 250 300,Rp2.472.855,-,https://www.tokopedia.com/yamaha-bintang-rejeki-motor/high-screen-for-yamaha-xmax-250-300-1?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
CAP RESERVOIR REAR BLACK XSR155 B1V-F5852-M3-B1,Rp151.883,-,https://www.tokopedia.com/yamaha-bintang-rejeki-motor/cap-reservoir-rear-black-xsr155-b1v-f5852-m3-b1?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Cover Ring Speedometer Hitam Honda Scoopy K2F 53207K2FN00ASB,Rp127.500,-,https://www.tokopedia.com/hondacengkareng/cover-ring-speedometer-hitam-honda-scoopy-k2f-53207k2fn00asb-1729642392329291991?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Tameng Depan Hitam Honda Genio 64301K0JN00FMB,Rp865.900,-,https://www.tokopedia.com/hondacengkareng/tameng-depan-hitam-honda-genio-64301k0jn00fmb-1730892233234154711?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Mark Honda 80MM Type 5 Honda Genio 86101K0JN00ZE,Rp21.300,-,https://www.tokopedia.com/hondacengkareng/mark-honda-80mm-type-5-honda-genio-86101k0jn00ze-1729655695973910743?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Smart Key Remote Cover Kunci Honda Stylo 160 Merah 03512SKRCRE,Rp84.000,-,https://www.tokopedia.com/hondacengkareng/smart-key-remote-cover-kunci-honda-stylo-160-merah-03512skrcre?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Hayaidesu Body Protector Fazzio Rear Side Cover,Rp144.000,-,https://www.tokopedia.com/hayaidesuid/hayaidesu-body-protector-fazzio-rear-side-cover-merah?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
ADV 160 - Honda Garnish Air Cleaner / Hiasan Filter Pembersih Udara,Rp242.200,-,https://www.tokopedia.com/honda-star-official-shop/adv-160-honda-garnish-air-cleaner-hiasan-filter-pembersih-udara-1731286460357903451?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
Karet Intake Manipul PCX 150 Lama Manipul Manifold Sambungan Karburator Carbu Carburator Manifol Manipul Maniful Manipol Intek Insulator,Rp22.270,-,https://www.tokopedia.com/indonderdil/karet-intake-manipul-pcx-150-lama-manipul-manifold-sambungan-karburator-carbu-carburator-manifol-manipul-maniful-manipol-intek-insulator-1732541682224236325?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
BAUT / BAUD GANTUNGAN KNALPOT BAWAH YAMAHA VIXION OLD / NOUVO ORIGINAL YGP 95817-08025,Rp22.400,-,https://www.tokopedia.com/yamahalancarlanggeng/baut-baud-gantungan-knalpot-bawah-yamaha-vixion-old-nouvo-original-ygp-95817-08025-1730782352985589123?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
JPA Stoplamp / Lampu Stop Tracer RGB Aerox Alpha Dan Turbo,Rp665.000,-,https://www.tokopedia.com/gmaproductseries/jpa-stoplamp-lampu-stop-tracer-rgb-aerox-alpha-dan-turbo-1735895987281037014?extParam=ivf%3Dtrue%26search_id%3D202606251833310584CE565C824B11EQM3
Lid Smart Emg Biru Doff Honda PCX 160 K1Z 81137K1ZJ10YM,Rp175.100,-,https://www.tokopedia.com/hondacengkareng/lid-smart-emg-biru-doff-honda-pcx-160-k1z-81137k1zj10ym-1729581279571969239?extParam=ivf%3Dfalse%26search_id%3D202606251833310584CE565C824B11EQM3
